ds,y
2007/12/10,14629
2007/12/11,5012
2007/12/12,3582
2007/12/13,3205
2007/12/14,2680
2007/12/15,2401
2007/12/16,4510
2007/12/17,6831
2007/12/18,4370
2007/12/19,3196
2007/12/20,2642
2007/12/21,2349
2007/12/22,1862
2007/12/23,4382
2007/12/24,5542
2007/12/25,2572
2007/12/26,2576
2007/12/27,3140
2007/12/28,2770
2007/12/29,2536
2007/12/30,16369
2007/12/31,11920
2008/1/1,3999
2008/1/2,4604
2008/1/3,3874
2008/1/4,3317
2008/1/5,2836
2008/1/6,13484
2008/1/7,6952
2008/1/8,4585
2008/1/9,3821
2008/1/10,3951
2008/1/11,3995
2008/1/12,3638
2008/1/13,21950
2008/1/14,25011
2008/1/15,7584
2008/1/16,5251
2008/1/17,5155
2008/1/18,4446
2008/1/19,3726
2008/1/20,6898
2008/1/21,54025
2008/1/22,12644
2008/1/23,7505
2008/1/24,5133
2008/1/25,4893
2008/1/26,4525
2008/1/27,5285
2008/1/28,6226
2008/1/29,5620
2008/1/30,5846
2008/2/1,6797
2008/2/2,5105
2008/2/3,16286
2008/2/4,179415
2008/2/5,41576
2008/2/6,16183
2008/2/7,11110
2008/2/8,7870
2008/2/9,5373
2008/2/10,5527
2008/2/11,5521
2008/2/12,3698
2008/2/13,3181
2008/2/14,3339
2008/2/15,2439
2008/2/16,2054
2008/2/17,1912
2008/2/18,2234
2008/2/19,2413
2008/2/20,2227
2008/2/21,2365
2008/2/22,2198
2008/2/23,1601
2008/2/24,2726
2008/2/25,2052
2008/2/26,1946
2008/2/27,1935
2008/2/29,1905
2008/3/2,1536
2008/3/5,3377
2008/3/6,2664
2008/3/7,2489
2008/3/8,1610
2008/3/9,2476
2008/3/10,1886
2008/3/11,1898
2008/3/12,2184
2008/3/13,1767
2008/3/14,1570
2008/3/15,1133
2008/3/16,1234
2008/3/17,1556
2008/3/18,1520
2008/3/19,1578
2008/3/20,1448
2008/3/21,1410
2008/3/22,1099
2008/3/23,1292
2008/3/24,2343
2008/3/25,1842
2008/3/26,1659
2008/3/27,1707
2008/3/28,1378
2008/3/29,1087
2008/3/30,1355
2008/3/31,1497
2008/4/1,1555
2008/4/2,1834
2008/4/3,1625
2008/4/4,1460
2008/4/5,1441
2008/4/6,1298
2008/4/7,2021
2008/4/8,2034
2008/4/9,1679
2008/4/10,3576
2008/4/11,1635
2008/4/12,1220
2008/4/13,1189
2008/4/14,1671
2008/4/15,1793
2008/4/16,1613
2008/4/17,2171
2008/4/18,2184
2008/4/19,1421
2008/4/20,3446
2008/4/21,6087
2008/4/22,3265
2008/4/23,2541
2008/4/24,2098
2008/4/25,3044
2008/4/26,2515
2008/4/27,2270
2008/4/28,2530
2008/4/29,2052
2008/4/30,2089
2008/5/1,1898
2008/5/2,1704
2008/5/3,1180
2008/5/4,1126
2008/5/5,1623
2008/5/6,1470
2008/5/7,1574
2008/5/8,1831
2008/5/9,1738
2008/5/10,1230
2008/5/11,1243
2008/5/12,1730
2008/5/13,1506
2008/5/14,1653
2008/5/15,1640
2008/5/16,1472
2008/5/17,1085
2008/5/18,1089
2008/5/19,1688
2008/5/20,1575
2008/5/21,1728
2008/5/22,1585
2008/5/23,1266
2008/5/24,930
2008/5/25,983
2008/5/26,1069
2008/5/27,1431
2008/5/28,1437
2008/5/29,1430
2008/5/30,1284
2008/5/31,959
2008/6/3,1279
2008/6/4,1362
2008/6/5,1342
2008/6/6,1356
2008/6/7,1321
2008/6/8,916
2008/6/9,975
2008/6/10,1317
2008/6/11,1398
2008/6/12,1330
2008/6/13,1318
2008/6/14,1065
2008/6/15,1010
2008/6/16,1370
2008/6/17,1567
2008/6/18,1398
2008/6/19,1371
2008/6/20,1291
2008/6/21,1396
2008/6/22,1082
2008/6/23,1057
2008/6/24,1409
2008/6/25,1288
2008/6/26,1252
2008/6/27,1202
2008/6/28,1110
2008/6/29,951
2008/6/30,923
2008/7/2,1249
2008/7/3,1447
2008/7/4,1140
2008/7/5,983
2008/7/6,1051
2008/7/7,1474
2008/7/8,1803
2008/7/9,1496
2008/7/10,1346
2008/7/11,1370
2008/7/12,1419
2008/8/1,1679
2008/8/2,1233
2008/8/3,1408
2008/8/4,3932
2008/8/5,2011
2008/8/6,2088
2008/8/7,3018
2008/8/8,2780
2008/8/9,1824
2008/8/10,1847
2008/8/11,1978
2008/8/12,1809
2008/8/13,1588
2008/8/14,1612
2008/8/15,1484
2008/8/16,1444
2008/8/17,1623
2008/8/18,1839
2008/8/19,2722
2008/8/20,2260
2008/8/21,2144
2008/8/22,2057
2008/8/23,1687
2008/8/24,1958
2008/8/25,2831
2008/8/26,2430
2008/8/27,3003
2008/8/28,2418
2008/8/29,2522
2008/8/30,1835
2008/8/31,2054
2008/9/1,2579
2008/9/2,2878
2008/9/3,2312
2008/9/4,3232
2008/9/5,3866
2008/9/6,2368
2008/9/7,3560
2008/9/8,10740
2008/9/9,4182
2008/9/10,2516
2008/9/11,2462
2008/9/12,2482
2008/9/13,1910
2008/9/14,5193
2008/9/15,3670
2008/9/16,3241
2008/9/17,2419
2008/9/18,2145
2008/9/19,2080
2008/9/20,1901
2008/9/21,3825
2008/9/22,4040
2008/9/23,3384
2008/9/24,2222
2008/9/25,2130
2008/9/26,1857
2008/9/27,2768
2008/9/28,2756
2008/9/29,3084
2008/9/30,2266
2008/10/1,2196
2008/10/2,1719
2008/10/3,1622
2008/10/4,1550
2008/10/5,3299
2008/10/6,3486
2008/10/7,2896
2008/10/8,2625
2008/10/9,2070
2008/10/10,1974
2008/10/11,1544
2008/10/12,3560
2008/10/13,4192
2008/10/14,4801
2008/10/15,2627
2008/10/16,2247
2008/10/17,1791
2008/10/18,1597
2008/10/19,3215
2008/10/20,3517
2008/10/23,1969
2008/10/24,2013
2008/10/25,1433
2008/10/26,3103
2008/10/27,3325
2008/10/28,6680
2008/10/29,2315
2008/10/30,1774
2008/10/31,1551
2008/11/1,1404
2008/11/2,2802
2008/11/3,8397
2008/11/4,3106
2008/11/5,1646
2008/11/6,2904
2008/11/7,2364
2008/11/8,1757
2008/11/9,3072
2008/11/10,6182
2008/11/11,2799
2008/11/12,2133
2008/11/13,1959
2008/11/14,2232
2008/11/15,1424
2008/11/16,3123
2008/11/17,3273
2008/11/18,2362
2008/11/19,1802
2008/11/20,1905
2008/11/21,1803
2008/11/22,1499
2008/11/23,2804
2008/11/24,8593
2008/11/25,3620
2008/11/26,1843
2008/11/27,1903
2008/11/28,2239
2008/11/29,2010
2008/11/30,4910
2008/12/1,3991
2008/12/2,2683
2008/12/3,2417
2008/12/4,2112
2008/12/5,2019
2008/12/6,1865
2008/12/7,3757
2008/12/8,3001
2008/12/9,2588
2008/12/10,2202
2008/12/11,1990
2008/12/12,2289
2008/12/13,1558
2008/12/14,3076
2008/12/15,4422
2008/12/16,2499
2008/12/17,3251
2008/12/18,2372
2008/12/19,5937
2008/12/20,2315
2008/12/21,2866
2008/12/22,5567
2008/12/23,2971
2008/12/24,2040
2008/12/25,1689
2008/12/26,1742
2008/12/27,1718
2008/12/28,3833
2008/12/29,5194
2008/12/30,4088
2008/12/31,4064
2009/1/1,2342
2009/1/2,6689
2009/1/3,9154
2009/1/4,25689
2009/1/5,10592
2009/1/6,4602
2009/1/7,3421
2009/1/8,3118
2009/1/9,3748
2009/1/10,3433
2009/1/11,10053
2009/1/12,6203
2009/1/13,4965
2009/1/14,3308
2009/1/15,2836
2009/1/16,2571
2009/1/17,2114
2009/1/18,3116
2009/1/19,6641
2009/1/20,2514
2009/1/21,2386
2009/1/22,2794
2009/1/23,2148
2009/1/24,1617
2009/1/25,1829
2009/1/26,2129
2009/1/27,2415
2009/1/28,2460
2009/1/29,2502
2009/1/30,2715
2009/1/31,2213
2009/2/1,4806
2009/2/2,9410
2009/2/3,3172
2009/2/4,3186
2009/2/5,3164
2009/2/6,3132
2009/2/7,2350
2009/2/8,3287
2009/2/9,3036
2009/2/10,2032
2009/2/11,2547
2009/2/12,2365
2009/2/13,1864
2009/2/14,1529
2009/2/15,1372
2009/2/16,1663
2009/2/17,1681
2009/2/18,1632
2009/2/19,1800
2009/2/20,1635
2009/2/21,1106
2009/2/22,1234
2009/2/23,1779
2009/2/24,1942
2009/2/25,2097
2009/2/26,1762
2009/2/27,1759
2009/2/28,1355
2009/3/1,1546
2009/3/2,1776
2009/3/3,1654
2009/3/4,1641
2009/3/5,1725
2009/3/6,1675
2009/3/7,1194
2009/3/8,1354
2009/3/9,1566
2009/3/10,1487
2009/3/11,1747
2009/3/12,2615
2009/3/13,1406
2009/3/14,1186
2009/3/15,1368
2009/3/16,1532
2009/3/17,1469
2009/3/18,1479
2009/3/19,1456
2009/3/20,1483
2009/3/21,1167
2009/3/22,1315
2009/3/23,1818
2009/3/24,2630
2009/3/25,1956
2009/3/26,1583
2009/3/27,1418
2009/3/28,1160
2009/3/29,1813
2009/3/30,1708
2009/3/31,1775
2009/4/1,1776
2009/4/2,1843
2009/4/3,2121
2009/4/4,1400
2009/4/5,1384
2009/4/6,1544
2009/4/7,1671
2009/4/8,1794
2009/4/9,1503
2009/4/10,1263
2009/4/11,1107
