url_tail,timeFrom,timeTo
/deal/23127880,11:00,19:00
/deal/23127880,19:00,02:00
/deal/23127880,23:00,06:00
/deal/23424992,18:00,02:00
/deal/19882866,11:00,14:00
/deal/19882866,17:00,19:00
/deal/23425315,10:00,18:00
/deal/23425315,23:30,09:00
/deal/23425338,18:00,02:00
/deal/23088641,17:00,19:00
/deal/23088641,23:00,05:00
/deal/23088641,12:00,19:00
/deal/13477104,13:00,19:00
/deal/13477104,19:00,00:00
/deal/13477104,23:00,05:00
/deal/24514520,12:00,19:00
/deal/24514520,19:00,06:00
/deal/24514520,05:00,06:00
/deal/23425112,18:00,02:00
/deal/23425347,18:00,02:00
/deal/6366810,12:30,19:00
/deal/6366810,19:00,02:00
/deal/6366810,00:00,06:00
/deal/24521011,11:00,15:00
/deal/24521011,17:00,21:00
/deal/23771618,11:00,17:00
/deal/12312119,23:00,07:00
/deal/11977361,11:00,18:00
/deal/11977361,16:00,23:00
/deal/11977361,23:00,07:00
/deal/11977361,24:00,07:00
/deal/21176388,17:00,20:30
/deal/22410460,13:00,21:00
/deal/20867631,12:00,18:00
/deal/20867631,18:00,02:00
/deal/23906929,17:00,00:00
/deal/23906929,23:30,06:00
/deal/21977458,12:00,18:00
/deal/21977458,00:00,03:00
/deal/13672884,13:00,19:30
/deal/25420065,01:00,09:00
/deal/20685704,23:30,09:00
/deal/19586143,13:00,18:00
/deal/22171275,12:00,17:00
/deal/23088784,12:00,17:00
/deal/23088784,19:00,23:00
/deal/23088784,23:00,05:30
/deal/23088784,17:00,19:00
/deal/21574674,19:00,03:00
/deal/23156766,19:00,23:00
/deal/6003779,12:00,18:00
/deal/6003779,18:00,00:00
/deal/6003779,00:00,05:30
/deal/22120312,12:30,19:00
/deal/22120312,19:00,02:00
/deal/22120312,00:00,06:00
/deal/21040597,12:00,20:00
/deal/21040597,18:00,06:00
/deal/21040597,23:00,06:00
/deal/23646910,12:00,18:00
/deal/23646910,01:00,05:30
/deal/24643378,11:00,15:00
/deal/24643378,17:00,21:00
/deal/23425329,10:00,18:00
/deal/23425329,23:30,09:00
/deal/22111884,11:30,19:00
/deal/22111884,19:00,02:00
/deal/22111884,00:00,06:00
/deal/22974187,No timeFrom,No timeTo
/deal/6185721,No timeFrom,No timeTo
/deal/17584463,18:00,03:00
/deal/23123951,10:30,06:00
/deal/19912799,12:00,18:00
/deal/19912799,18:00,05:00
/deal/18314227,12:00,18:00
/deal/18314227,00:00,06:00
/deal/22323104,18:00,02:00
/deal/23425217,00:00,09:00
/deal/23425217,09:00,18:00
/deal/22171401,12:00,17:00
/deal/22171401,17:00,02:00
/deal/19334213,No timeFrom,No timeTo
/deal/24520604,11:00,13:00
/deal/24592005,11:00,18:00
/deal/24592005,18:00,02:00
/deal/19913132,12:00,18:00
/deal/19913132,18:00,05:00
/deal/21747662,12:00,18:00
/deal/21747662,18:00,05:00
/deal/22783607,12:00,18:00
/deal/22783607,18:00,00:00
/deal/22783607,00:00,05:30
/deal/20787843,23:30,06:00
/deal/23617581,14:00,18:00
/deal/23617581,18:00,03:00
/deal/25459816,11:00,17:00
/deal/25459816,17:00,23:00
/deal/25459816,23:30,06:00
/deal/23285055,17:00,19:00
/deal/23285055,12:00,19:00
/deal/23285055,12:00,13:00
/deal/15387457,14:00,02:00
/deal/23123401,10:30,06:00
/deal/18825605,13:00,19:00
/deal/18825605,19:00,00:00
/deal/8092224,No timeFrom,No timeTo
/deal/23460796,12:00,19:00
/deal/23460796,19:00,00:00
/deal/23460796,00:00,05:00
/deal/10562742,No timeFrom,No timeTo
/deal/22441403,18:00,03:00
/deal/25838908,12:00,18:00
/deal/25838908,18:00,00:00
/deal/25838908,00:00,05:30
/deal/6408947,13:00,17:00
