"","address","name","newprice","oldprice","sales","reserve","general","holiday","link"
"1","
            朝阳区
        ","麦乐迪","￥59","￥496","20244","否","是","是","/deal/23127880"
"2","
            朝阳区
        ","温莎KTV（国贸店）","￥598","￥1682","2510","否","否","否","/deal/23424992"
"3","
            朝阳区
        ","温莎KTV（国贸店）","￥38","￥330","13587","是","否","否","/deal/19882866"
"4","
            朝阳区
        ","温莎KTV（爱琴海店）","￥290","￥1782","2330","否","否","否","/deal/23425315"
"5","
            朝阳区
        ","温莎KTV（爱琴海店）","￥520","￥2782","2552","否","否","否","/deal/23425338"
"6","
            朝阳区
        ","钱柜KTV","￥60","￥387","4411","否","否","是","/deal/23088641"
"7","
            朝阳区
        ","音畔量贩KTV","￥69","￥588","6025","否","否","否","/deal/13477104"
"8","
            朝阳区
        ","友乐汇","￥32","￥443.5","3778","否","否","是","/deal/24514520"
"9","
            朝阳区
        ","温莎KTV（国贸店）","￥698","￥1988","1529","否","否","否","/deal/23425112"
"10","
            朝阳区
        ","温莎KTV（爱琴海店）","￥560","￥2828","1243","否","否","否","/deal/23425347"
"11","
            朝阳区
        ","银马量贩纯k","￥18","￥368","41875","是","否","否","/deal/6366810"
"12","
            朝阳区
        ","麦乐迪KTV","￥288","￥1321","755","否","是","是","/deal/24521011"
"13","
            朝阳区
        ","同乐迪量贩KTV（望京华彩店）","￥25.9","￥398","1491","否","否","是","/deal/23771618"
"14","
            朝阳区
        ","北京纯K-SHOWTIME","￥35","￥168","8196","否","否","否","/deal/12312119"
"15","
            朝阳区
        ","北京纯K-SHOWTIME","￥34.9","￥152","23638","否","否","否","/deal/11977361"
"16","
            朝阳区
        ","温莎KTV","￥598","￥2588","671","是","是","是","/deal/21176388"
"17","
            朝阳区
        ","IBIZA伊贝莎风尚主题KTV","￥25","￥600","3943","是","否","是","/deal/22410460"
"18","
            朝阳区
        ","果冻ktv","￥6.6","￥478","10190","否","否","是","/deal/20867631"
"19","
            朝阳区
        ","同乐迪量贩KTV（望京华彩店）","￥30","￥298","2253","否","否","是","/deal/23906929"
"20","
            朝阳区
        ","都唛量贩KTV","￥39","￥290","1087","是","否","是","/deal/21977458"
"21","
            朝阳区
        ","酷姿时尚主题KTV","￥158","￥323","2140","否","是","是","/deal/13672884"
"22","
            朝阳区
        ","温莎KTV","￥158","￥2199","211","否","是","否","/deal/25420065"
"23","
            朝阳区
        ","温莎KTV","￥458","￥1668","420","是","是","是","/deal/20685704"
"24","
            朝阳区
        ","红石KTV","￥9.9","￥228","2578","是","否","是","/deal/19586143"
"25","
            朝阳区
        ","芒果派对量贩式ktv","￥19.9","￥156","1468","是","否","是","/deal/22171275"
"26","
            朝阳区
        ","钱柜KTV","￥100","￥487","693","否","否","是","/deal/23088784"
"27","
            朝阳区
        ","都唛量贩KTV","￥59","￥699","1951","是","否","是","/deal/21574674"
"28","
            朝阳区
        ","钱柜KTV","￥338","￥738","298","否","否","是","/deal/23156766"
"29","
            朝阳区
        ","炫音全自助KTV","￥49","￥237","2316","否","否","是","/deal/6003779"
"30","
            朝阳区
        ","银马量贩纯k","￥268","￥2656","236","是","否","否","/deal/22120312"
"31","
            朝阳区
        ","麦克风量贩式KTV","￥25","￥417","1324","否","否","是","/deal/21040597"
"32","
            朝阳区
        ","夏日情KTV（朝北欧尚店）","￥6.6","￥88","801","是","否","是","/deal/23646910"
"33","
            朝阳区
        ","麦乐迪KTV","￥788","￥2799","139","否","是","是","/deal/24643378"
"34","
            朝阳区
        ","温莎KTV（爱琴海店）","￥658","￥2782","110","否","否","否","/deal/23425329"
"35","
            朝阳区
        ","银马量贩纯k","￥238","￥2656","145","是","否","否","/deal/22111884"
"36","
            朝阳区
        ","糖果录音棚","￥49.9","￥200","123","否","是","是","/deal/22974187"
"37","
            朝阳区
        ","音乐之声","￥219","￥1041","2186","否","否","否","/deal/6185721"
"38","
            朝阳区
        ","寻梦缘KTV","￥68","￥720","858","否","否","否","/deal/17584463"
"39","
            朝阳区
        ","音乐之声","￥398","￥1058","99","否","否","否","/deal/23123951"
